qid,name,category,country,iso,lat,lon,year,year_approx,century,wikipedia,image,sitelinks,pageviews,fame_rank,url,image_by,image_licence
Q12501,Great Wall of China,fortress,China,CN,40.43139,116.56444,-700,0,7th century BC,https://en.wikipedia.org/wiki/Great_Wall_of_China,https://commons.wikimedia.org/wiki/Special:FilePath/The%20Great%20Wall%20of%20China%20at%20Jinshanling-edit.jpg?width=1280,193,12116,173,https://thecastlemap.com/castles/great-wall-of-china/,Severin.stalder,CC BY-SA 3.0
Q676203,Machu Picchu,fortress,Peru,PE,-13.16333,-72.54556,1450,0,15th century,https://en.wikipedia.org/wiki/Machu_Picchu,https://commons.wikimedia.org/wiki/Special:FilePath/Machu%20Picchu%2C%202023%20%28012%29.jpg?width=1280,148,47134,19,https://thecastlemap.com/castles/machu-picchu/,Draceane,CC BY-SA 4.0
Q2946,Palace of Versailles,palace,France,FR,48.80472,2.12028,1661,0,17th century,https://en.wikipedia.org/wiki/Palace_of_Versailles,https://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg?width=1280,108,201480,1,https://thecastlemap.com/castles/palace-of-versailles/,ToucanWings,CC BY-SA 3.0
Q80290,Forbidden City,palace,China,CN,39.91583,116.39083,1420,0,15th century,https://en.wikipedia.org/wiki/Forbidden_City,https://commons.wikimedia.org/wiki/Special:FilePath/Hall%20of%20Supreme%20Harmony%20%2820241127120000%29.jpg?width=1280,104,143606,3,https://thecastlemap.com/castles/forbidden-city/,N509FZ,CC BY-SA 4.0
Q1143049,Château de Montsoreau,castle,France,FR,47.2156,0.0622,990,0,10th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Montsoreau,https://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20Montsoreau%20Museum%20of%20contemporary%20art%20Loire%20Valley%20France.jpg?width=1280,100,2956,840,https://thecastlemap.com/castles/chateau-de-montsoreau/,Suavemarimagno,CC BY-SA 4.0
Q131013,Acropolis of Athens,fortress,Greece,GR,37.97167,23.72611,-500,0,5th century BC,https://en.wikipedia.org/wiki/Acropolis_of_Athens,https://commons.wikimedia.org/wiki/Special:FilePath/Attica%2006-13%20Athens%2050%20View%20from%20Philopappos%20-%20Acropolis%20Hill.jpg?width=1280,97,164313,2,https://thecastlemap.com/castles/acropolis-of-athens/,A.Savin,CC BY-SA 3.0
Q133274,Kremlin,fortress,Russia,RU,55.75167,37.61778,1420,0,15th century,https://en.wikipedia.org/wiki/Kremlin,https://commons.wikimedia.org/wiki/Special:FilePath/Moscow%2005-2012%20Kremlin%2022.jpg?width=1280,97,68810,12,https://thecastlemap.com/castles/kremlin/,A.Savin,CC BY-SA 3.0
Q47476,Alhambra,palace,Spain,ES,37.17634,-3.58821,1239,0,13th century,https://en.wikipedia.org/wiki/Alhambra,https://commons.wikimedia.org/wiki/Special:FilePath/Alhambra%20detail.jpg?width=1280,96,152416,4,https://thecastlemap.com/castles/alhambra/,Jebulon,CC0
Q42182,Buckingham Palace,palace,England,GB-ENG,51.501,-0.142,1703,0,18th century,https://en.wikipedia.org/wiki/Buckingham_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Buckingham%20Palace%2C%20London%20-%20April%202009.jpg?width=1280,95,149475,6,https://thecastlemap.com/castles/buckingham-palace/,Diliff,CC BY-SA 3.0
Q4152,Neuschwanstein Castle,palace,Germany,DE,47.55749,10.74944,1869,0,19th century,https://en.wikipedia.org/wiki/Neuschwanstein_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Neuschwanstein%202013.jpg?width=1280,92,200101,5,https://thecastlemap.com/castles/neuschwanstein-castle/,"Thomas Wolf, www.foto-tw.de",CC BY-SA 3.0 de
